ImageId,WKT_Pix
AOI_3_Paris_img235,"LINESTRING (0.00 1145.22, 104.59 1117.62, 1300.00 795.29)"
AOI_3_Paris_img307,"LINESTRING (156.97 168.14, 0.00 334.78)"
AOI_3_Paris_img307,"LINESTRING (0.00 875.71, 47.61 802.11, 98.96 547.89, 146.51 277.82, 156.97 168.14)"
AOI_3_Paris_img307,"LINESTRING (0.00 1145.02, 411.18 865.50, 785.22 557.40, 1040.08 344.38, 1244.75 177.18, 1300.00 124.59)"
AOI_3_Paris_img307,"LINESTRING (0.00 1197.46, 30.81 1216.72, 237.75 1300.00)"
AOI_3_Paris_img307,"LINESTRING (202.37 0.00, 200.08 9.02, 170.28 94.60, 156.97 168.14)"
AOI_3_Paris_img84,"LINESTRING (1300.00 474.87, 685.19 339.41, 56.18 202.04, 0.00 189.44)"
AOI_3_Paris_img84,"LINESTRING (390.84 0.00, 392.65 1.82, 466.90 25.73)"
AOI_3_Paris_img84,"LINESTRING (908.41 0.00, 1011.66 70.23, 1128.45 141.41, 1202.98 185.35, 1300.00 236.50)"
AOI_3_Paris_img84,"LINESTRING (1300.00 62.77, 1283.17 84.04, 1202.98 185.35)"
AOI_3_Paris_img84,"LINESTRING (1283.17 84.04, 1300.00 89.95)"
AOI_3_Paris_img496,"LINESTRING (107.85 1300.00, 109.12 1299.29, 165.38 1273.14, 242.25 1231.14, 310.40 1190.73, 389.64 1154.27, 479.98 1111.48, 562.40 1087.71, 665.42 1068.69, 847.68 1063.93, 969.72 1052.84, 1146.89 1031.36, 1205.60 1028.92, 1300.00 1046.33)"
AOI_3_Paris_img38,"LINESTRING (0.00 970.63, 91.12 953.80, 142.89 944.45)"
AOI_3_Paris_img38,"LINESTRING (196.70 1300.00, 33.04 1135.85, 0.00 1100.59)"
AOI_3_Paris_img38,"LINESTRING (134.88 935.75, 142.89 944.45, 266.85 1079.19, 278.56 1089.64, 340.00 1144.45, 387.74 1133.37, 412.98 1127.51, 486.49 1142.71, 534.36 1207.57, 608.78 1300.00)"
AOI_3_Paris_img38,"LINESTRING (344.70 1300.00, 210.19 1157.72, 193.33 1132.62, 211.98 1119.71, 278.56 1089.64)"
AOI_3_Paris_img38,"LINESTRING (1163.87 824.07, 925.23 919.97, 525.04 1066.28, 488.17 1081.66, 426.66 1107.33, 387.74 1133.37)"
AOI_3_Paris_img38,"LINESTRING (486.49 1142.71, 484.87 1132.38, 478.59 1121.96, 480.69 1103.30, 488.17 1081.66)"
AOI_3_Paris_img38,"LINESTRING (1300.00 1006.62, 1242.23 932.16, 1163.87 824.07, 1060.78 681.86)"
AOI_3_Paris_img340,"LINESTRING (0.00 250.14, 97.28 291.80, 261.48 295.60, 364.82 272.78, 402.22 248.05, 563.25 235.38, 631.71 245.52, 652.63 287.36, 639.32 307.01, 584.17 319.38, 565.78 323.50, 449.20 340.15, 406.02 346.32, 363.23 315.25, 264.96 315.43, 190.48 315.57, 162.90 308.28, 97.28 291.80)"
AOI_3_Paris_img340,"LINESTRING (0.00 517.38, 44.35 461.07, 89.04 403.38, 131.20 355.51, 162.90 308.28)"
AOI_3_Paris_img340,"LINESTRING (264.96 315.43, 226.61 372.63, 174.63 440.78, 120.42 508.93, 72.56 556.79, 0.00 529.44)"
AOI_3_Paris_img340,"LINESTRING (0.00 867.35, 33.57 828.45, 133.74 714.33, 238.34 594.20, 339.14 483.89, 450.72 352.66, 449.20 340.15)"
AOI_3_Paris_img340,"LINESTRING (0.00 1250.85, 77.95 1274.44, 160.64 1300.00)"
AOI_3_Paris_img340,"LINESTRING (584.17 319.38, 648.51 373.26, 700.82 410.35, 760.72 436.02, 812.39 453.46, 889.10 459.80)"
AOI_3_Paris_img340,"LINESTRING (896.08 452.51, 889.10 459.80, 824.75 443.63, 790.52 431.90, 759.14 417.64, 698.91 388.16, 665.00 338.39, 639.32 307.01)"
AOI_3_Paris_img340,"LINESTRING (1300.00 617.02, 1247.29 595.15, 1053.30 526.68, 896.08 452.51)"
AOI_3_Paris_img340,"LINESTRING (1300.00 279.25, 1247.92 303.21, 1012.09 400.21, 896.08 452.51)"
AOI_3_Paris_img489,"LINESTRING (0.00 115.53, 87.53 208.89, 163.65 313.35, 290.09 439.47, 432.77 551.90, 486.07 587.85)"
AOI_3_Paris_img489,"LINESTRING (667.60 0.00, 670.00 1.36, 729.87 54.55, 761.56 83.85, 787.52 111.71, 852.81 187.83, 910.45 287.52, 939.43 341.34, 902.17 373.19, 810.45 427.33, 548.81 563.32, 486.07 587.85, 551.68 1063.02, 573.71 1300.00)"
AOI_3_Paris_img28,"LINESTRING (900.29 372.56, 901.13 358.84, 886.90 332.50, 843.38 301.76, 818.28 293.53)"
AOI_3_Paris_img28,"LINESTRING (844.30 0.00, 1040.17 164.37, 1300.00 409.91)"
AOI_3_Paris_img28,"LINESTRING (918.76 0.00, 956.21 29.19, 1191.73 241.88, 1300.00 347.40)"
AOI_3_Paris_img432,"LINESTRING (0.00 415.82, 376.31 297.41, 427.37 286.66)"
AOI_3_Paris_img432,"LINESTRING (0.00 881.02, 143.09 711.35, 300.43 528.21, 465.26 337.23)"
AOI_3_Paris_img432,"LINESTRING (0.00 934.62, 305.00 1043.30)"
AOI_3_Paris_img432,"LINESTRING (384.61 930.95, 305.00 1043.30, 224.19 1149.94, 111.41 1300.00)"
AOI_3_Paris_img432,"LINESTRING (300.43 528.21, 613.11 642.99, 895.17 746.53, 1009.37 793.59, 1068.25 795.99, 1155.97 775.56, 1284.54 829.64, 1300.00 836.55)"
AOI_3_Paris_img432,"LINESTRING (384.61 930.95, 491.25 955.88, 545.32 966.70, 630.04 995.53, 736.38 1008.15, 797.06 981.11, 882.98 986.52, 954.47 989.53, 1024.17 985.92, 1110.68 973.90, 1208.01 994.93, 1257.28 1039.99, 1273.50 1116.30, 1271.70 1209.42, 1272.85 1300.00)"
AOI_3_Paris_img432,"LINESTRING (384.61 930.95, 421.78 864.48, 555.16 710.68, 613.11 642.99)"
AOI_3_Paris_img432,"LINESTRING (530.00 271.21, 534.75 295.77, 530.00 316.77, 506.22 333.42, 474.92 340.94, 465.26 337.23, 444.01 328.66, 432.92 309.64, 427.37 286.66, 445.20 273.59, 483.64 264.47, 530.00 271.21)"
AOI_3_Paris_img432,"LINESTRING (746.10 0.00, 530.00 271.21)"
AOI_3_Paris_img406,"LINESTRING (6.40 0.00, 0.00 7.26)"
AOI_3_Paris_img406,"LINESTRING (725.95 492.87, 449.58 363.10, 131.15 235.13, 0.00 181.37)"
AOI_3_Paris_img406,"LINESTRING (0.00 468.08, 142.57 503.08, 477.22 566.17, 725.95 492.87, 940.74 349.88)"
AOI_3_Paris_img406,"LINESTRING (0.00 608.62, 78.44 649.72)"
AOI_3_Paris_img406,"LINESTRING (0.00 1107.57, 153.08 971.41, 375.98 777.65, 190.63 699.55, 137.36 742.49, 0.00 861.27)"
AOI_3_Paris_img406,"LINESTRING (134.36 1300.00, 158.49 1278.72, 681.19 813.70, 971.38 554.15, 1093.34 440.00)"
AOI_3_Paris_img406,"LINESTRING (1093.34 440.00, 1064.50 412.36, 940.74 349.88, 910.70 323.44, 398.81 48.88, 282.26 0.00)"
AOI_3_Paris_img406,"LINESTRING (398.81 48.88, 446.46 0.00)"
AOI_3_Paris_img406,"LINESTRING (477.22 566.17, 567.34 647.28)"
AOI_3_Paris_img406,"LINESTRING (614.40 0.00, 807.36 73.51, 871.46 0.00)"
AOI_3_Paris_img406,"LINESTRING (680.84 1300.00, 692.83 1278.72, 990.23 1021.58, 1174.07 955.49, 1287.63 951.89, 1300.00 961.76)"
AOI_3_Paris_img406,"LINESTRING (1131.43 0.00, 1153.12 7.72, 910.70 323.44)"
AOI_3_Paris_img406,"LINESTRING (1093.34 440.00, 1147.11 472.29, 1216.21 514.50, 1300.00 565.39)"
AOI_3_Paris_img406,"LINESTRING (1147.11 472.29, 1180.16 448.26, 1226.42 425.43, 1299.12 438.65, 1300.00 438.99)"
AOI_3_Paris_img406,"LINESTRING (1153.12 7.72, 1267.27 39.56, 1300.00 49.58)"
AOI_3_Paris_img406,"LINESTRING (1300.00 251.86, 1198.18 219.96, 1160.33 183.31, 1183.76 129.23, 1267.27 39.56)"
